method,suite,setting,seed,split,pair,aggregation,metric,value,source
official_code_lidargaitpp,clip_length,len1_c2c3_full,0,0,diagnostic_fixed5_only_to_special,query_micro,rank1,0.65807962529274,lidargaitpp/outputs/lidargaitpp/followup/20260809-161027/clip_length/len1_c2c3_full/seed_0/split_0/final_eval/retrieval_metrics.json
official_code_lidargaitpp,clip_length,len1_c2c3_full,0,0,diagnostic_fixed5_only_to_special,query_micro,rank5,0.8758782201405152,lidargaitpp/outputs/lidargaitpp/followup/20260809-161027/clip_length/len1_c2c3_full/seed_0/split_0/final_eval/retrieval_metrics.json
official_code_lidargaitpp,clip_length,len1_c2c3_full,0,0,diagnostic_fixed5_only_to_special,query_micro,mAP,0.5993583637880776,lidargaitpp/outputs/lidargaitpp/followup/20260809-161027/clip_length/len1_c2c3_full/seed_0/split_0/final_eval/retrieval_metrics.json
official_code_lidargaitpp,clip_length,len1_c2c3_full,0,0,diagnostic_fixed5_only_to_special,subject_macro,rank1,0.6274364081062195,lidargaitpp/outputs/lidargaitpp/followup/20260809-161027/clip_length/len1_c2c3_full/seed_0/split_0/final_eval/retrieval_metrics.json
official_code_lidargaitpp,clip_length,len1_c2c3_full,0,0,diagnostic_fixed5_only_to_special,subject_macro,rank5,0.8612777777777778,lidargaitpp/outputs/lidargaitpp/followup/20260809-161027/clip_length/len1_c2c3_full/seed_0/split_0/final_eval/retrieval_metrics.json
official_code_lidargaitpp,clip_length,len1_c2c3_full,0,0,diagnostic_fixed5_only_to_special,subject_macro,mAP,0.5755647978235723,lidargaitpp/outputs/lidargaitpp/followup/20260809-161027/clip_length/len1_c2c3_full/seed_0/split_0/final_eval/retrieval_metrics.json
official_code_lidargaitpp,clip_length,len1_c2c3_full,0,0,test_all_personal,query_micro,rank1,0.7960199004975125,lidargaitpp/outputs/lidargaitpp/followup/20260809-161027/clip_length/len1_c2c3_full/seed_0/split_0/final_eval/retrieval_metrics.json
official_code_lidargaitpp,clip_length,len1_c2c3_full,0,0,test_all_personal,query_micro,rank5,0.9701492537313433,lidargaitpp/outputs/lidargaitpp/followup/20260809-161027/clip_length/len1_c2c3_full/seed_0/split_0/final_eval/retrieval_metrics.json
official_code_lidargaitpp,clip_length,len1_c2c3_full,0,0,test_all_personal,query_micro,mAP,0.6962825145887498,lidargaitpp/outputs/lidargaitpp/followup/20260809-161027/clip_length/len1_c2c3_full/seed_0/split_0/final_eval/retrieval_metrics.json
official_code_lidargaitpp,clip_length,len1_c2c3_full,0,0,test_all_personal,subject_macro,rank1,0.7992857142857143,lidargaitpp/outputs/lidargaitpp/followup/20260809-161027/clip_length/len1_c2c3_full/seed_0/split_0/final_eval/retrieval_metrics.json
official_code_lidargaitpp,clip_length,len1_c2c3_full,0,0,test_all_personal,subject_macro,rank5,0.9711904761904762,lidargaitpp/outputs/lidargaitpp/followup/20260809-161027/clip_length/len1_c2c3_full/seed_0/split_0/final_eval/retrieval_metrics.json
official_code_lidargaitpp,clip_length,len1_c2c3_full,0,0,test_all_personal,subject_macro,mAP,0.6986650563350746,lidargaitpp/outputs/lidargaitpp/followup/20260809-161027/clip_length/len1_c2c3_full/seed_0/split_0/final_eval/retrieval_metrics.json
official_code_lidargaitpp,clip_length,len1_c2c3_full,0,0,test_fixed5_c4c5_normal,query_micro,rank1,0.5748792270531401,lidargaitpp/outputs/lidargaitpp/followup/20260809-161027/clip_length/len1_c2c3_full/seed_0/split_0/final_eval/retrieval_metrics.json
official_code_lidargaitpp,clip_length,len1_c2c3_full,0,0,test_fixed5_c4c5_normal,query_micro,rank5,0.7874396135265701,lidargaitpp/outputs/lidargaitpp/followup/20260809-161027/clip_length/len1_c2c3_full/seed_0/split_0/final_eval/retrieval_metrics.json
official_code_lidargaitpp,clip_length,len1_c2c3_full,0,0,test_fixed5_c4c5_normal,query_micro,mAP,0.4775710973330742,lidargaitpp/outputs/lidargaitpp/followup/20260809-161027/clip_length/len1_c2c3_full/seed_0/split_0/final_eval/retrieval_metrics.json
official_code_lidargaitpp,clip_length,len1_c2c3_full,0,0,test_fixed5_c4c5_normal,subject_macro,rank1,0.566797454931071,lidargaitpp/outputs/lidargaitpp/followup/20260809-161027/clip_length/len1_c2c3_full/seed_0/split_0/final_eval/retrieval_metrics.json
official_code_lidargaitpp,clip_length,len1_c2c3_full,0,0,test_fixed5_c4c5_normal,subject_macro,rank5,0.781829268292683,lidargaitpp/outputs/lidargaitpp/followup/20260809-161027/clip_length/len1_c2c3_full/seed_0/split_0/final_eval/retrieval_metrics.json
official_code_lidargaitpp,clip_length,len1_c2c3_full,0,0,test_fixed5_c4c5_normal,subject_macro,mAP,0.4664389977002495,lidargaitpp/outputs/lidargaitpp/followup/20260809-161027/clip_length/len1_c2c3_full/seed_0/split_0/final_eval/retrieval_metrics.json
official_code_lidargaitpp,clip_length,len1_c2c3_full,0,0,test_fixed5_c7,query_micro,rank1,0.6214285714285714,lidargaitpp/outputs/lidargaitpp/followup/20260809-161027/clip_length/len1_c2c3_full/seed_0/split_0/final_eval/retrieval_metrics.json
official_code_lidargaitpp,clip_length,len1_c2c3_full,0,0,test_fixed5_c7,query_micro,rank5,0.8642857142857143,lidargaitpp/outputs/lidargaitpp/followup/20260809-161027/clip_length/len1_c2c3_full/seed_0/split_0/final_eval/retrieval_metrics.json
official_code_lidargaitpp,clip_length,len1_c2c3_full,0,0,test_fixed5_c7,query_micro,mAP,0.4964406910219363,lidargaitpp/outputs/lidargaitpp/followup/20260809-161027/clip_length/len1_c2c3_full/seed_0/split_0/final_eval/retrieval_metrics.json
official_code_lidargaitpp,clip_length,len1_c2c3_full,0,0,test_fixed5_c7,subject_macro,rank1,0.575,lidargaitpp/outputs/lidargaitpp/followup/20260809-161027/clip_length/len1_c2c3_full/seed_0/split_0/final_eval/retrieval_metrics.json
official_code_lidargaitpp,clip_length,len1_c2c3_full,0,0,test_fixed5_c7,subject_macro,rank5,0.7875000000000001,lidargaitpp/outputs/lidargaitpp/followup/20260809-161027/clip_length/len1_c2c3_full/seed_0/split_0/final_eval/retrieval_metrics.json
