method,suite,setting,seed,split,pair,aggregation,metric,value,source
mph_gait,clip_length,len1_c2c3_full,0,0,val,query_micro,rank1,0.92,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_0/20260809-132541_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,0,val,query_micro,rank5,0.99,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_0/20260809-132541_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,0,val,query_micro,mAP,0.8065595443546772,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_0/20260809-132541_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,0,val,subject_macro,rank1,0.9199999999999999,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_0/20260809-132541_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,0,val,subject_macro,rank5,0.99,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_0/20260809-132541_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,0,val,subject_macro,mAP,0.8065595443546772,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_0/20260809-132541_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,0,val_c2_to_c3,query_micro,rank1,1.0,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_0/20260809-132541_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,0,val_c2_to_c3,query_micro,rank5,1.0,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_0/20260809-132541_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,0,val_c2_to_c3,query_micro,mAP,0.8571061998605728,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_0/20260809-132541_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,0,val_c2_to_c3,subject_macro,rank1,1.0,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_0/20260809-132541_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,0,val_c2_to_c3,subject_macro,rank5,1.0,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_0/20260809-132541_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,0,val_c2_to_c3,subject_macro,mAP,0.8571061998605728,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_0/20260809-132541_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,0,val_c3_to_c2,query_micro,rank1,0.95,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_0/20260809-132541_seed_0/retrieval_metrics.json
