method,suite,setting,pair,aggregation,metric,mean_of_seed_split_means,seed_std,pooled_split_std,num_seeds,num_runs
mph_gait,clip_length,len1_c2c3_full,diagnostic_fixed5_only_to_special,query_micro,mAP,0.6053361960261432,0.0,0.022089122990464307,1,5
mph_gait,clip_length,len1_c2c3_full,diagnostic_fixed5_only_to_special,query_micro,rank1,0.6903981264637002,0.0,0.02831303280507247,1,5
mph_gait,clip_length,len1_c2c3_full,diagnostic_fixed5_only_to_special,query_micro,rank5,0.8163934426229508,0.0,0.03898013727693336,1,5
mph_gait,clip_length,len1_c2c3_full,diagnostic_fixed5_only_to_special,subject_macro,mAP,0.5730819392235045,0.0,0.02173729733910279,1,5
mph_gait,clip_length,len1_c2c3_full,diagnostic_fixed5_only_to_special,subject_macro,rank1,0.6433458420684837,0.0,0.028535945628697663,1,5
mph_gait,clip_length,len1_c2c3_full,diagnostic_fixed5_only_to_special,subject_macro,rank5,0.78383869089215,0.0,0.04454683478813683,1,5
mph_gait,clip_length,len1_c2c3_full,test_all_personal,query_micro,mAP,0.6201681470273297,0.0,0.0748633478333568,1,5
mph_gait,clip_length,len1_c2c3_full,test_all_personal,query_micro,rank1,0.7588105251171137,0.0,0.04730063328407367,1,5
mph_gait,clip_length,len1_c2c3_full,test_all_personal,query_micro,rank5,0.8757266927209745,0.0,0.018139468895702466,1,5
mph_gait,clip_length,len1_c2c3_full,test_all_personal,subject_macro,mAP,0.6234223918272698,0.0,0.07426922400814027,1,5
mph_gait,clip_length,len1_c2c3_full,test_all_personal,subject_macro,rank1,0.7631351611351611,0.0,0.046801091435369056,1,5
mph_gait,clip_length,len1_c2c3_full,test_all_personal,subject_macro,rank5,0.8801394901394902,0.0,0.016750594688112217,1,5
mph_gait,clip_length,len1_c2c3_full,test_fixed5_c4c5_normal,query_micro,mAP,0.48083383215654296,0.0,0.06342456695277898,1,5
mph_gait,clip_length,len1_c2c3_full,test_fixed5_c4c5_normal,query_micro,rank1,0.5400966183574879,0.0,0.10656089413690618,1,5
mph_gait,clip_length,len1_c2c3_full,test_fixed5_c4c5_normal,query_micro,rank5,0.7033816425120774,0.0,0.05555345511677314,1,5
mph_gait,clip_length,len1_c2c3_full,test_fixed5_c4c5_normal,subject_macro,mAP,0.47873273681709394,0.0,0.06268641443766458,1,5
mph_gait,clip_length,len1_c2c3_full,test_fixed5_c4c5_normal,subject_macro,rank1,0.5341442205726405,0.0,0.10414234992922722,1,5
mph_gait,clip_length,len1_c2c3_full,test_fixed5_c4c5_normal,subject_macro,rank5,0.698083775185578,0.0,0.05612273455062387,1,5
mph_gait,clip_length,len1_c2c3_full,test_fixed5_c7,query_micro,mAP,0.4592877592572144,0.0,0.032951124291313985,1,5
mph_gait,clip_length,len1_c2c3_full,test_fixed5_c7,query_micro,rank1,0.5171428571428571,0.0,0.0716567783084826,1,5
mph_gait,clip_length,len1_c2c3_full,test_fixed5_c7,query_micro,rank5,0.6842857142857144,0.0,0.08868656111525004,1,5
mph_gait,clip_length,len1_c2c3_full,test_fixed5_c7,subject_macro,mAP,0.4102289935201407,0.0,0.037542710919167,1,5
mph_gait,clip_length,len1_c2c3_full,test_fixed5_c7,subject_macro,rank1,0.4625,0.0,0.08451249085851817,1,5
mph_gait,clip_length,len1_c2c3_full,test_fixed5_c7,subject_macro,rank5,0.63625,0.0,0.08263877217545446,1,5
mph_gait,clip_length,len1_c2c3_full,test_fixed5_to_personal,query_micro,mAP,0.5656681342068876,0.0,0.040789948695383944,1,5
mph_gait,clip_length,len1_c2c3_full,test_fixed5_to_personal,query_micro,rank1,0.6594059405940594,0.0,0.06761731120381734,1,5
mph_gait,clip_length,len1_c2c3_full,test_fixed5_to_personal,query_micro,rank5,0.8118811881188119,0.0,0.006261935960729434,1,5
mph_gait,clip_length,len1_c2c3_full,test_fixed5_to_personal,subject_macro,mAP,0.5702387456922304,0.0,0.04116096841263264,1,5
mph_gait,clip_length,len1_c2c3_full,test_fixed5_to_personal,subject_macro,rank1,0.6655238095238095,0.0,0.06818316002252754,1,5
mph_gait,clip_length,len1_c2c3_full,test_fixed5_to_personal,subject_macro,rank5,0.8181904761904762,0.0,0.006189743546389329,1,5
mph_gait,clip_length,len1_c2c3_full,test_fixed5_to_special,query_micro,mAP,0.49244802906516005,0.0,0.0603969325734314,1,5
mph_gait,clip_length,len1_c2c3_full,test_fixed5_to_special,query_micro,rank1,0.5625292740046838,0.0,0.1108042694204101,1,5
mph_gait,clip_length,len1_c2c3_full,test_fixed5_to_special,query_micro,rank5,0.7433255269320843,0.0,0.05250499824858559,1,5
mph_gait,clip_length,len1_c2c3_full,test_fixed5_to_special,subject_macro,mAP,0.46040999956625195,0.0,0.060324323820857735,1,5
mph_gait,clip_length,len1_c2c3_full,test_fixed5_to_special,subject_macro,rank1,0.5152156300955043,0.0,0.10812362880105458,1,5
mph_gait,clip_length,len1_c2c3_full,test_fixed5_to_special,subject_macro,rank5,0.7033409037968786,0.0,0.052675781939703736,1,5
mph_gait,clip_length,len1_c2c3_full,test_general_to_personal,query_micro,mAP,0.6766968950601477,0.0,0.10873005901552031,1,5
mph_gait,clip_length,len1_c2c3_full,test_general_to_personal,query_micro,rank1,0.8632058823529413,0.0,0.038301345662845536,1,5
mph_gait,clip_length,len1_c2c3_full,test_general_to_personal,query_micro,rank5,0.9435098039215687,0.0,0.03745141155690619,1,5
mph_gait,clip_length,len1_c2c3_full,test_general_to_personal,subject_macro,mAP,0.6780133549063043,0.0,0.10683029719566106,1,5
mph_gait,clip_length,len1_c2c3_full,test_general_to_personal,subject_macro,rank1,0.8650454545454546,0.0,0.03653154416402713,1,5
mph_gait,clip_length,len1_c2c3_full,test_general_to_personal,subject_macro,rank5,0.9453636363636363,0.0,0.03395962600422902,1,5
mph_gait,clip_length,len1_c2c3_full,test_mixed_c2_to_c3,query_micro,mAP,0.6958726771217254,0.0,0.08818009632033195,1,5
mph_gait,clip_length,len1_c2c3_full,test_mixed_c2_to_c3,query_micro,rank1,0.7244444444444444,0.0,0.07071940729319805,1,5
mph_gait,clip_length,len1_c2c3_full,test_mixed_c2_to_c3,query_micro,rank5,0.9538888888888888,0.0,0.010772621905369626,1,5
mph_gait,clip_length,len1_c2c3_full,test_mixed_c2_to_c3,subject_macro,mAP,0.6958726771217254,0.0,0.08818009632033195,1,5
mph_gait,clip_length,len1_c2c3_full,test_mixed_c2_to_c3,subject_macro,rank1,0.7244444444444444,0.0,0.07071940729319805,1,5
mph_gait,clip_length,len1_c2c3_full,test_mixed_c2_to_c3,subject_macro,rank5,0.9538888888888888,0.0,0.010772621905369626,1,5
mph_gait,clip_length,len1_c2c3_full,test_mixed_c3_to_c2,query_micro,mAP,0.6631305062563884,0.0,0.0792548452337016,1,5
mph_gait,clip_length,len1_c2c3_full,test_mixed_c3_to_c2,query_micro,rank1,0.7244444444444444,0.0,0.08216589662324168,1,5
mph_gait,clip_length,len1_c2c3_full,test_mixed_c3_to_c2,query_micro,rank5,0.8627777777777779,0.0,0.02267592403550951,1,5
mph_gait,clip_length,len1_c2c3_full,test_mixed_c3_to_c2,subject_macro,mAP,0.6631305062563884,0.0,0.0792548452337016,1,5
mph_gait,clip_length,len1_c2c3_full,test_mixed_c3_to_c2,subject_macro,rank1,0.7244444444444444,0.0,0.08216589662324168,1,5
mph_gait,clip_length,len1_c2c3_full,test_mixed_c3_to_c2,subject_macro,rank5,0.8627777777777779,0.0,0.02267592403550951,1,5
mph_gait,clip_length,len1_c2c3_full,test_query_micro_overall,query_micro,mAP,0.5333544154870757,0.0,0.05706195361338125,1,5
mph_gait,clip_length,len1_c2c3_full,test_query_micro_overall,query_micro,rank1,0.625467011477739,0.0,0.080046028612393,1,5
mph_gait,clip_length,len1_c2c3_full,test_query_micro_overall,query_micro,rank5,0.7853363637331119,0.0,0.039735318833377886,1,5
mph_gait,clip_length,len1_c2c3_full,test_query_micro_overall,subject_macro,mAP,0.5802870609053533,0.0,0.07228908192655444,1,5
mph_gait,clip_length,len1_c2c3_full,test_query_micro_overall,subject_macro,rank1,0.7055822199586906,0.0,0.04890883254370273,1,5
mph_gait,clip_length,len1_c2c3_full,test_query_micro_overall,subject_macro,rank5,0.8358841939469389,0.0,0.03391034387902186,1,5
mph_gait,clip_length,len1_c2c3_full,val,query_micro,mAP,0.8119097894593782,0.0,0.07809385968537574,1,5
mph_gait,clip_length,len1_c2c3_full,val,query_micro,rank1,0.8878725490196079,0.0,0.11634998872784817,1,5
mph_gait,clip_length,len1_c2c3_full,val,query_micro,rank5,0.965892156862745,0.0,0.03391522665412078,1,5
mph_gait,clip_length,len1_c2c3_full,val,subject_macro,mAP,0.8133900469866665,0.0,0.07570894422879725,1,5
mph_gait,clip_length,len1_c2c3_full,val,subject_macro,rank1,0.8892272727272728,0.0,0.11366068830565691,1,5
mph_gait,clip_length,len1_c2c3_full,val,subject_macro,rank5,0.9671363636363637,0.0,0.03158080283080239,1,5
mph_gait,clip_length,len1_c2c3_full,val_c2_to_c3,query_micro,mAP,0.8624987704306841,0.0,0.0865242022562344,1,5
mph_gait,clip_length,len1_c2c3_full,val_c2_to_c3,query_micro,rank1,0.905,0.0,0.0812403840463596,1,5
mph_gait,clip_length,len1_c2c3_full,val_c2_to_c3,query_micro,rank5,0.9875,0.0,0.025,1,5
mph_gait,clip_length,len1_c2c3_full,val_c2_to_c3,subject_macro,mAP,0.8624987704306841,0.0,0.0865242022562344,1,5
mph_gait,clip_length,len1_c2c3_full,val_c2_to_c3,subject_macro,rank1,0.905,0.0,0.0812403840463596,1,5
mph_gait,clip_length,len1_c2c3_full,val_c2_to_c3,subject_macro,rank5,0.9875,0.0,0.025,1,5
mph_gait,clip_length,len1_c2c3_full,val_c3_to_c2,query_micro,mAP,0.865248771160841,0.0,0.09030987425664867,1,5
mph_gait,clip_length,len1_c2c3_full,val_c3_to_c2,query_micro,rank1,0.8875,0.0,0.12298373876248841,1,5
mph_gait,clip_length,len1_c2c3_full,val_c3_to_c2,query_micro,rank5,0.97,0.0,0.06000000000000001,1,5
mph_gait,clip_length,len1_c2c3_full,val_c3_to_c2,subject_macro,mAP,0.865248771160841,0.0,0.09030987425664867,1,5
mph_gait,clip_length,len1_c2c3_full,val_c3_to_c2,subject_macro,rank1,0.8875,0.0,0.12298373876248841,1,5
mph_gait,clip_length,len1_c2c3_full,val_c3_to_c2,subject_macro,rank5,0.97,0.0,0.06000000000000001,1,5
mph_gait,clip_length,len30_c2c3_full,diagnostic_fixed5_only_to_special,query_micro,mAP,0.8151044287223727,0.0,0.04272979723940853,1,5
mph_gait,clip_length,len30_c2c3_full,diagnostic_fixed5_only_to_special,query_micro,rank1,0.8295081967213115,0.0,0.056622191225712146,1,5
mph_gait,clip_length,len30_c2c3_full,diagnostic_fixed5_only_to_special,query_micro,rank5,0.9081967213114754,0.0,0.03051334421527369,1,5
mph_gait,clip_length,len30_c2c3_full,diagnostic_fixed5_only_to_special,subject_macro,mAP,0.7852596244974095,0.0,0.043748903839971966,1,5
mph_gait,clip_length,len30_c2c3_full,diagnostic_fixed5_only_to_special,subject_macro,rank1,0.7875261122757978,0.0,0.05420171095895634,1,5
mph_gait,clip_length,len30_c2c3_full,diagnostic_fixed5_only_to_special,subject_macro,rank5,0.8767688795713953,0.0,0.041783440708221264,1,5
mph_gait,clip_length,len30_c2c3_full,test_all_personal,query_micro,mAP,0.8195513092265218,0.0,0.056222502813641384,1,5
mph_gait,clip_length,len30_c2c3_full,test_all_personal,query_micro,rank1,0.8606619624843423,0.0,0.022515747103762546,1,5
mph_gait,clip_length,len30_c2c3_full,test_all_personal,query_micro,rank5,0.9394364215717538,0.0,0.020708981130714583,1,5
mph_gait,clip_length,len30_c2c3_full,test_all_personal,subject_macro,mAP,0.8200312140254253,0.0,0.055613759349075136,1,5
mph_gait,clip_length,len30_c2c3_full,test_all_personal,subject_macro,rank1,0.8608441558441559,0.0,0.02189637178263341,1,5
mph_gait,clip_length,len30_c2c3_full,test_all_personal,subject_macro,rank5,0.9394675324675325,0.0,0.02093166751889868,1,5
mph_gait,clip_length,len30_c2c3_full,test_fixed5_c4c5_normal,query_micro,mAP,0.7091077826377274,0.0,0.08169198466590097,1,5
mph_gait,clip_length,len30_c2c3_full,test_fixed5_c4c5_normal,query_micro,rank1,0.7371980676328502,0.0,0.060615988952108686,1,5
mph_gait,clip_length,len30_c2c3_full,test_fixed5_c4c5_normal,query_micro,rank5,0.8570048309178745,0.0,0.04412825989050912,1,5
mph_gait,clip_length,len30_c2c3_full,test_fixed5_c4c5_normal,subject_macro,mAP,0.7062376301533139,0.0,0.08206435576525979,1,5
mph_gait,clip_length,len30_c2c3_full,test_fixed5_c4c5_normal,subject_macro,rank1,0.7319427359490986,0.0,0.06227847564945373,1,5
mph_gait,clip_length,len30_c2c3_full,test_fixed5_c4c5_normal,subject_macro,rank5,0.8522523860021209,0.0,0.045789094323872105,1,5
mph_gait,clip_length,len30_c2c3_full,test_fixed5_c7,query_micro,mAP,0.7155284539929457,0.0,0.06291944682750503,1,5
mph_gait,clip_length,len30_c2c3_full,test_fixed5_c7,query_micro,rank1,0.7485714285714286,0.0,0.0497750039719553,1,5
mph_gait,clip_length,len30_c2c3_full,test_fixed5_c7,query_micro,rank5,0.8571428571428571,0.0,0.03469987943283175,1,5
mph_gait,clip_length,len30_c2c3_full,test_fixed5_c7,subject_macro,mAP,0.6103905773535371,0.0,0.0646654097319563,1,5
mph_gait,clip_length,len30_c2c3_full,test_fixed5_c7,subject_macro,rank1,0.6208333333333333,0.0,0.07157697876334879,1,5
mph_gait,clip_length,len30_c2c3_full,test_fixed5_c7,subject_macro,rank5,0.7616666666666667,0.0,0.04498456525421928,1,5
mph_gait,clip_length,len30_c2c3_full,test_fixed5_to_personal,query_micro,mAP,0.7699660952285965,0.0,0.05413444186401517,1,5
mph_gait,clip_length,len30_c2c3_full,test_fixed5_to_personal,query_micro,rank1,0.7980198019801981,0.0,0.03406861491898069,1,5
mph_gait,clip_length,len30_c2c3_full,test_fixed5_to_personal,query_micro,rank5,0.8970297029702969,0.0,0.04228545842388639,1,5
mph_gait,clip_length,len30_c2c3_full,test_fixed5_to_personal,subject_macro,mAP,0.7700278409158899,0.0,0.05289379851055534,1,5
mph_gait,clip_length,len30_c2c3_full,test_fixed5_to_personal,subject_macro,rank1,0.7978095238095237,0.0,0.03455003929693139,1,5
mph_gait,clip_length,len30_c2c3_full,test_fixed5_to_personal,subject_macro,rank5,0.8965714285714286,0.0,0.042986471531097775,1,5
mph_gait,clip_length,len30_c2c3_full,test_fixed5_to_special,query_micro,mAP,0.7323162855567362,0.0,0.06519190656414273,1,5
mph_gait,clip_length,len30_c2c3_full,test_fixed5_to_special,query_micro,rank1,0.7667447306791569,0.0,0.05918343706412932,1,5
mph_gait,clip_length,len30_c2c3_full,test_fixed5_to_special,query_micro,rank5,0.877751756440281,0.0,0.02038412660139482,1,5
mph_gait,clip_length,len30_c2c3_full,test_fixed5_to_special,subject_macro,mAP,0.7007800827962568,0.0,0.06816113123238109,1,5
mph_gait,clip_length,len30_c2c3_full,test_fixed5_to_special,subject_macro,rank1,0.7215349406009783,0.0,0.05689511016004915,1,5
mph_gait,clip_length,len30_c2c3_full,test_fixed5_to_special,subject_macro,rank5,0.8366142091777311,0.0,0.032344435784928016,1,5
mph_gait,clip_length,len30_c2c3_full,test_general_to_personal,query_micro,mAP,0.8720111666365581,0.0,0.07094665143127526,1,5
mph_gait,clip_length,len30_c2c3_full,test_general_to_personal,query_micro,rank1,0.9276176470588234,0.0,0.06637059110269998,1,5
mph_gait,clip_length,len30_c2c3_full,test_general_to_personal,query_micro,rank5,0.9840784313725489,0.0,0.01494647633860262,1,5
mph_gait,clip_length,len30_c2c3_full,test_general_to_personal,subject_macro,mAP,0.872739674929868,0.0,0.07124994692606419,1,5
mph_gait,clip_length,len30_c2c3_full,test_general_to_personal,subject_macro,rank1,0.9280454545454546,0.0,0.06665248471743768,1,5
mph_gait,clip_length,len30_c2c3_full,test_general_to_personal,subject_macro,rank5,0.9843636363636363,0.0,0.014886901447606349,1,5
mph_gait,clip_length,len30_c2c3_full,test_mixed_c2_to_c3,query_micro,mAP,0.9136750767297215,0.0,0.03224657474475382,1,5
mph_gait,clip_length,len30_c2c3_full,test_mixed_c2_to_c3,query_micro,rank1,0.9650000000000001,0.0,0.03391164991562633,1,5
mph_gait,clip_length,len30_c2c3_full,test_mixed_c2_to_c3,query_micro,rank5,0.9800000000000001,0.0,0.039999999999999994,1,5
mph_gait,clip_length,len30_c2c3_full,test_mixed_c2_to_c3,subject_macro,mAP,0.9136750767297215,0.0,0.03224657474475382,1,5
mph_gait,clip_length,len30_c2c3_full,test_mixed_c2_to_c3,subject_macro,rank1,0.9650000000000001,0.0,0.03391164991562633,1,5
mph_gait,clip_length,len30_c2c3_full,test_mixed_c2_to_c3,subject_macro,rank5,0.9800000000000001,0.0,0.039999999999999994,1,5
mph_gait,clip_length,len30_c2c3_full,test_mixed_c3_to_c2,query_micro,mAP,0.914642180038823,0.0,0.037116368584732315,1,5
mph_gait,clip_length,len30_c2c3_full,test_mixed_c3_to_c2,query_micro,rank1,0.9294444444444444,0.0,0.03607262906832871,1,5
mph_gait,clip_length,len30_c2c3_full,test_mixed_c3_to_c2,query_micro,rank5,0.985,0.0,0.020000000000000018,1,5
mph_gait,clip_length,len30_c2c3_full,test_mixed_c3_to_c2,subject_macro,mAP,0.914642180038823,0.0,0.037116368584732315,1,5
mph_gait,clip_length,len30_c2c3_full,test_mixed_c3_to_c2,subject_macro,rank1,0.9294444444444444,0.0,0.03607262906832871,1,5
mph_gait,clip_length,len30_c2c3_full,test_mixed_c3_to_c2,subject_macro,rank5,0.985,0.0,0.020000000000000018,1,5
mph_gait,clip_length,len30_c2c3_full,test_query_micro_overall,query_micro,mAP,0.7601384860158451,0.0,0.05994855552464416,1,5
mph_gait,clip_length,len30_c2c3_full,test_query_micro_overall,query_micro,rank1,0.7968232351047471,0.0,0.0421624302282655,1,5
mph_gait,clip_length,len30_c2c3_full,test_query_micro_overall,query_micro,rank5,0.8973376115447855,0.0,0.018067606786725785,1,5
mph_gait,clip_length,len30_c2c3_full,test_query_micro_overall,subject_macro,mAP,0.791580359939326,0.0,0.06063520772594201,1,5
mph_gait,clip_length,len30_c2c3_full,test_query_micro_overall,subject_macro,rank1,0.8306371530430354,0.0,0.03806032645417675,1,5
mph_gait,clip_length,len30_c2c3_full,test_query_micro_overall,subject_macro,rank5,0.9164729946524064,0.0,0.01912027570692362,1,5
mph_gait,clip_length,len30_c2c3_full,val,query_micro,mAP,0.9541223487579356,0.0,0.02472390351507707,1,5
mph_gait,clip_length,len30_c2c3_full,val,query_micro,rank1,0.9841176470588235,0.0,0.016148103469904473,1,5
mph_gait,clip_length,len30_c2c3_full,val,query_micro,rank5,0.9960392156862745,0.0,0.004851346539354383,1,5
mph_gait,clip_length,len30_c2c3_full,val,subject_macro,mAP,0.9544793320000171,0.0,0.0243809292966444,1,5
mph_gait,clip_length,len30_c2c3_full,val,subject_macro,rank1,0.9841818181818182,0.0,0.016094760710058716,1,5
mph_gait,clip_length,len30_c2c3_full,val,subject_macro,rank5,0.9961818181818181,0.0,0.004685126809718218,1,5
mph_gait,clip_length,len30_c2c3_full,val_c2_to_c3,query_micro,mAP,0.9862202382087707,0.0,0.013495610998563145,1,5
mph_gait,clip_length,len30_c2c3_full,val_c2_to_c3,query_micro,rank1,0.99,0.0,0.020000000000000018,1,5
mph_gait,clip_length,len30_c2c3_full,val_c2_to_c3,query_micro,rank5,1.0,0.0,0.0,1,5
mph_gait,clip_length,len30_c2c3_full,val_c2_to_c3,subject_macro,mAP,0.9862202382087707,0.0,0.013495610998563145,1,5
