method,suite,setting,seed,split,pair,aggregation,metric,value,source
pointnet_tmax,clip_length,len1_c2c3_full,0,0,val,query_micro,rank1,0.96,pointnet-tmax/outputs/pointnet_tmax/followup/20260812-135428/clip_length/len1_c2c3_full/seed_0/split_0/20260812-135431_seed_0/retrieval_metrics.json
pointnet_tmax,clip_length,len1_c2c3_full,0,0,val,query_micro,rank5,0.99,pointnet-tmax/outputs/pointnet_tmax/followup/20260812-135428/clip_length/len1_c2c3_full/seed_0/split_0/20260812-135431_seed_0/retrieval_metrics.json
pointnet_tmax,clip_length,len1_c2c3_full,0,0,val,query_micro,mAP,0.8285338182747364,pointnet-tmax/outputs/pointnet_tmax/followup/20260812-135428/clip_length/len1_c2c3_full/seed_0/split_0/20260812-135431_seed_0/retrieval_metrics.json
pointnet_tmax,clip_length,len1_c2c3_full,0,0,val,subject_macro,rank1,0.96,pointnet-tmax/outputs/pointnet_tmax/followup/20260812-135428/clip_length/len1_c2c3_full/seed_0/split_0/20260812-135431_seed_0/retrieval_metrics.json
pointnet_tmax,clip_length,len1_c2c3_full,0,0,val,subject_macro,rank5,0.99,pointnet-tmax/outputs/pointnet_tmax/followup/20260812-135428/clip_length/len1_c2c3_full/seed_0/split_0/20260812-135431_seed_0/retrieval_metrics.json
pointnet_tmax,clip_length,len1_c2c3_full,0,0,val,subject_macro,mAP,0.8285338182747365,pointnet-tmax/outputs/pointnet_tmax/followup/20260812-135428/clip_length/len1_c2c3_full/seed_0/split_0/20260812-135431_seed_0/retrieval_metrics.json
pointnet_tmax,clip_length,len1_c2c3_full,0,0,val_c2_to_c3,query_micro,rank1,1.0,pointnet-tmax/outputs/pointnet_tmax/followup/20260812-135428/clip_length/len1_c2c3_full/seed_0/split_0/20260812-135431_seed_0/retrieval_metrics.json
pointnet_tmax,clip_length,len1_c2c3_full,0,0,val_c2_to_c3,query_micro,rank5,1.0,pointnet-tmax/outputs/pointnet_tmax/followup/20260812-135428/clip_length/len1_c2c3_full/seed_0/split_0/20260812-135431_seed_0/retrieval_metrics.json
pointnet_tmax,clip_length,len1_c2c3_full,0,0,val_c2_to_c3,query_micro,mAP,0.8762732654809952,pointnet-tmax/outputs/pointnet_tmax/followup/20260812-135428/clip_length/len1_c2c3_full/seed_0/split_0/20260812-135431_seed_0/retrieval_metrics.json
pointnet_tmax,clip_length,len1_c2c3_full,0,0,val_c2_to_c3,subject_macro,rank1,1.0,pointnet-tmax/outputs/pointnet_tmax/followup/20260812-135428/clip_length/len1_c2c3_full/seed_0/split_0/20260812-135431_seed_0/retrieval_metrics.json
pointnet_tmax,clip_length,len1_c2c3_full,0,0,val_c2_to_c3,subject_macro,rank5,1.0,pointnet-tmax/outputs/pointnet_tmax/followup/20260812-135428/clip_length/len1_c2c3_full/seed_0/split_0/20260812-135431_seed_0/retrieval_metrics.json
pointnet_tmax,clip_length,len1_c2c3_full,0,0,val_c2_to_c3,subject_macro,mAP,0.8762732654809952,pointnet-tmax/outputs/pointnet_tmax/followup/20260812-135428/clip_length/len1_c2c3_full/seed_0/split_0/20260812-135431_seed_0/retrieval_metrics.json
pointnet_tmax,clip_length,len1_c2c3_full,0,0,val_c3_to_c2,query_micro,rank1,0.85,pointnet-tmax/outputs/pointnet_tmax/followup/20260812-135428/clip_length/len1_c2c3_full/seed_0/split_0/20260812-135431_seed_0/retrieval_metrics.json
pointnet_tmax,clip_length,len1_c2c3_full,0,0,val_c3_to_c2,query_micro,rank5,1.0,pointnet-tmax/outputs/pointnet_tmax/followup/20260812-135428/clip_length/len1_c2c3_full/seed_0/split_0/20260812-135431_seed_0/retrieval_metrics.json
pointnet_tmax,clip_length,len1_c2c3_full,0,0,val_c3_to_c2,query_micro,mAP,0.8959890127182006,pointnet-tmax/outputs/pointnet_tmax/followup/20260812-135428/clip_length/len1_c2c3_full/seed_0/split_0/20260812-135431_seed_0/retrieval_metrics.json
pointnet_tmax,clip_length,len1_c2c3_full,0,0,val_c3_to_c2,subject_macro,rank1,0.85,pointnet-tmax/outputs/pointnet_tmax/followup/20260812-135428/clip_length/len1_c2c3_full/seed_0/split_0/20260812-135431_seed_0/retrieval_metrics.json
pointnet_tmax,clip_length,len1_c2c3_full,0,0,val_c3_to_c2,subject_macro,rank5,1.0,pointnet-tmax/outputs/pointnet_tmax/followup/20260812-135428/clip_length/len1_c2c3_full/seed_0/split_0/20260812-135431_seed_0/retrieval_metrics.json
pointnet_tmax,clip_length,len1_c2c3_full,0,0,val_c3_to_c2,subject_macro,mAP,0.8959890127182006,pointnet-tmax/outputs/pointnet_tmax/followup/20260812-135428/clip_length/len1_c2c3_full/seed_0/split_0/20260812-135431_seed_0/retrieval_metrics.json
pointnet_tmax,clip_length,len1_c2c3_full,0,0,test_general_to_personal,query_micro,rank1,0.88,pointnet-tmax/outputs/pointnet_tmax/followup/20260812-135428/clip_length/len1_c2c3_full/seed_0/split_0/20260812-135431_seed_0/retrieval_metrics.json
pointnet_tmax,clip_length,len1_c2c3_full,0,0,test_general_to_personal,query_micro,rank5,0.96,pointnet-tmax/outputs/pointnet_tmax/followup/20260812-135428/clip_length/len1_c2c3_full/seed_0/split_0/20260812-135431_seed_0/retrieval_metrics.json
pointnet_tmax,clip_length,len1_c2c3_full,0,0,test_general_to_personal,query_micro,mAP,0.6553289241343737,pointnet-tmax/outputs/pointnet_tmax/followup/20260812-135428/clip_length/len1_c2c3_full/seed_0/split_0/20260812-135431_seed_0/retrieval_metrics.json
pointnet_tmax,clip_length,len1_c2c3_full,0,0,test_general_to_personal,subject_macro,rank1,0.8799999999999999,pointnet-tmax/outputs/pointnet_tmax/followup/20260812-135428/clip_length/len1_c2c3_full/seed_0/split_0/20260812-135431_seed_0/retrieval_metrics.json
pointnet_tmax,clip_length,len1_c2c3_full,0,0,test_general_to_personal,subject_macro,rank5,0.96,pointnet-tmax/outputs/pointnet_tmax/followup/20260812-135428/clip_length/len1_c2c3_full/seed_0/split_0/20260812-135431_seed_0/retrieval_metrics.json
pointnet_tmax,clip_length,len1_c2c3_full,0,0,test_general_to_personal,subject_macro,mAP,0.6553289241343737,pointnet-tmax/outputs/pointnet_tmax/followup/20260812-135428/clip_length/len1_c2c3_full/seed_0/split_0/20260812-135431_seed_0/retrieval_metrics.json
pointnet_tmax,clip_length,len1_c2c3_full,0,0,test_fixed5_to_personal,query_micro,rank1,0.6138613861386139,pointnet-tmax/outputs/pointnet_tmax/followup/20260812-135428/clip_length/len1_c2c3_full/seed_0/split_0/20260812-135431_seed_0/retrieval_metrics.json
pointnet_tmax,clip_length,len1_c2c3_full,0,0,test_fixed5_to_personal,query_micro,rank5,0.7821782178217822,pointnet-tmax/outputs/pointnet_tmax/followup/20260812-135428/clip_length/len1_c2c3_full/seed_0/split_0/20260812-135431_seed_0/retrieval_metrics.json
pointnet_tmax,clip_length,len1_c2c3_full,0,0,test_fixed5_to_personal,query_micro,mAP,0.5453328820738462,pointnet-tmax/outputs/pointnet_tmax/followup/20260812-135428/clip_length/len1_c2c3_full/seed_0/split_0/20260812-135431_seed_0/retrieval_metrics.json
pointnet_tmax,clip_length,len1_c2c3_full,0,0,test_fixed5_to_personal,subject_macro,rank1,0.6199999999999999,pointnet-tmax/outputs/pointnet_tmax/followup/20260812-135428/clip_length/len1_c2c3_full/seed_0/split_0/20260812-135431_seed_0/retrieval_metrics.json
pointnet_tmax,clip_length,len1_c2c3_full,0,0,test_fixed5_to_personal,subject_macro,rank5,0.7880952380952382,pointnet-tmax/outputs/pointnet_tmax/followup/20260812-135428/clip_length/len1_c2c3_full/seed_0/split_0/20260812-135431_seed_0/retrieval_metrics.json
pointnet_tmax,clip_length,len1_c2c3_full,0,0,test_fixed5_to_personal,subject_macro,mAP,0.5498311817929858,pointnet-tmax/outputs/pointnet_tmax/followup/20260812-135428/clip_length/len1_c2c3_full/seed_0/split_0/20260812-135431_seed_0/retrieval_metrics.json
pointnet_tmax,clip_length,len1_c2c3_full,0,0,test_fixed5_to_special,query_micro,rank1,0.5339578454332553,pointnet-tmax/outputs/pointnet_tmax/followup/20260812-135428/clip_length/len1_c2c3_full/seed_0/split_0/20260812-135431_seed_0/retrieval_metrics.json
pointnet_tmax,clip_length,len1_c2c3_full,0,0,test_fixed5_to_special,query_micro,rank5,0.6932084309133489,pointnet-tmax/outputs/pointnet_tmax/followup/20260812-135428/clip_length/len1_c2c3_full/seed_0/split_0/20260812-135431_seed_0/retrieval_metrics.json
pointnet_tmax,clip_length,len1_c2c3_full,0,0,test_fixed5_to_special,query_micro,mAP,0.48992280707426317,pointnet-tmax/outputs/pointnet_tmax/followup/20260812-135428/clip_length/len1_c2c3_full/seed_0/split_0/20260812-135431_seed_0/retrieval_metrics.json
pointnet_tmax,clip_length,len1_c2c3_full,0,0,test_fixed5_to_special,subject_macro,rank1,0.4719754251106452,pointnet-tmax/outputs/pointnet_tmax/followup/20260812-135428/clip_length/len1_c2c3_full/seed_0/split_0/20260812-135431_seed_0/retrieval_metrics.json
pointnet_tmax,clip_length,len1_c2c3_full,0,0,test_fixed5_to_special,subject_macro,rank5,0.6444814814814814,pointnet-tmax/outputs/pointnet_tmax/followup/20260812-135428/clip_length/len1_c2c3_full/seed_0/split_0/20260812-135431_seed_0/retrieval_metrics.json
pointnet_tmax,clip_length,len1_c2c3_full,0,0,test_fixed5_to_special,subject_macro,mAP,0.4476823863531737,pointnet-tmax/outputs/pointnet_tmax/followup/20260812-135428/clip_length/len1_c2c3_full/seed_0/split_0/20260812-135431_seed_0/retrieval_metrics.json
pointnet_tmax,clip_length,len1_c2c3_full,0,0,test_fixed5_c4c5_normal,query_micro,rank1,0.48792270531400966,pointnet-tmax/outputs/pointnet_tmax/followup/20260812-135428/clip_length/len1_c2c3_full/seed_0/split_0/20260812-135431_seed_0/retrieval_metrics.json
pointnet_tmax,clip_length,len1_c2c3_full,0,0,test_fixed5_c4c5_normal,query_micro,rank5,0.6521739130434783,pointnet-tmax/outputs/pointnet_tmax/followup/20260812-135428/clip_length/len1_c2c3_full/seed_0/split_0/20260812-135431_seed_0/retrieval_metrics.json
pointnet_tmax,clip_length,len1_c2c3_full,0,0,test_fixed5_c4c5_normal,query_micro,mAP,0.457806880671333,pointnet-tmax/outputs/pointnet_tmax/followup/20260812-135428/clip_length/len1_c2c3_full/seed_0/split_0/20260812-135431_seed_0/retrieval_metrics.json
pointnet_tmax,clip_length,len1_c2c3_full,0,0,test_fixed5_c4c5_normal,subject_macro,rank1,0.475,pointnet-tmax/outputs/pointnet_tmax/followup/20260812-135428/clip_length/len1_c2c3_full/seed_0/split_0/20260812-135431_seed_0/retrieval_metrics.json
pointnet_tmax,clip_length,len1_c2c3_full,0,0,test_fixed5_c4c5_normal,subject_macro,rank5,0.6447560975609756,pointnet-tmax/outputs/pointnet_tmax/followup/20260812-135428/clip_length/len1_c2c3_full/seed_0/split_0/20260812-135431_seed_0/retrieval_metrics.json
pointnet_tmax,clip_length,len1_c2c3_full,0,0,test_fixed5_c4c5_normal,subject_macro,mAP,0.4531068075718091,pointnet-tmax/outputs/pointnet_tmax/followup/20260812-135428/clip_length/len1_c2c3_full/seed_0/split_0/20260812-135431_seed_0/retrieval_metrics.json
pointnet_tmax,clip_length,len1_c2c3_full,0,0,test_fixed5_c7,query_micro,rank1,0.5285714285714286,pointnet-tmax/outputs/pointnet_tmax/followup/20260812-135428/clip_length/len1_c2c3_full/seed_0/split_0/20260812-135431_seed_0/retrieval_metrics.json
pointnet_tmax,clip_length,len1_c2c3_full,0,0,test_fixed5_c7,query_micro,rank5,0.5857142857142857,pointnet-tmax/outputs/pointnet_tmax/followup/20260812-135428/clip_length/len1_c2c3_full/seed_0/split_0/20260812-135431_seed_0/retrieval_metrics.json
pointnet_tmax,clip_length,len1_c2c3_full,0,0,test_fixed5_c7,query_micro,mAP,0.49533139781228136,pointnet-tmax/outputs/pointnet_tmax/followup/20260812-135428/clip_length/len1_c2c3_full/seed_0/split_0/20260812-135431_seed_0/retrieval_metrics.json
pointnet_tmax,clip_length,len1_c2c3_full,0,0,test_fixed5_c7,subject_macro,rank1,0.4854166666666667,pointnet-tmax/outputs/pointnet_tmax/followup/20260812-135428/clip_length/len1_c2c3_full/seed_0/split_0/20260812-135431_seed_0/retrieval_metrics.json
pointnet_tmax,clip_length,len1_c2c3_full,0,0,test_fixed5_c7,subject_macro,rank5,0.5333333333333333,pointnet-tmax/outputs/pointnet_tmax/followup/20260812-135428/clip_length/len1_c2c3_full/seed_0/split_0/20260812-135431_seed_0/retrieval_metrics.json
pointnet_tmax,clip_length,len1_c2c3_full,0,0,test_fixed5_c7,subject_macro,mAP,0.4317009829139958,pointnet-tmax/outputs/pointnet_tmax/followup/20260812-135428/clip_length/len1_c2c3_full/seed_0/split_0/20260812-135431_seed_0/retrieval_metrics.json
pointnet_tmax,clip_length,len1_c2c3_full,0,0,test_all_personal,query_micro,rank1,0.746268656716418,pointnet-tmax/outputs/pointnet_tmax/followup/20260812-135428/clip_length/len1_c2c3_full/seed_0/split_0/20260812-135431_seed_0/retrieval_metrics.json
pointnet_tmax,clip_length,len1_c2c3_full,0,0,test_all_personal,query_micro,rank5,0.8706467661691543,pointnet-tmax/outputs/pointnet_tmax/followup/20260812-135428/clip_length/len1_c2c3_full/seed_0/split_0/20260812-135431_seed_0/retrieval_metrics.json
pointnet_tmax,clip_length,len1_c2c3_full,0,0,test_all_personal,query_micro,mAP,0.6000572811089345,pointnet-tmax/outputs/pointnet_tmax/followup/20260812-135428/clip_length/len1_c2c3_full/seed_0/split_0/20260812-135431_seed_0/retrieval_metrics.json
pointnet_tmax,clip_length,len1_c2c3_full,0,0,test_all_personal,subject_macro,rank1,0.75,pointnet-tmax/outputs/pointnet_tmax/followup/20260812-135428/clip_length/len1_c2c3_full/seed_0/split_0/20260812-135431_seed_0/retrieval_metrics.json
pointnet_tmax,clip_length,len1_c2c3_full,0,0,test_all_personal,subject_macro,rank5,0.8740476190476191,pointnet-tmax/outputs/pointnet_tmax/followup/20260812-135428/clip_length/len1_c2c3_full/seed_0/split_0/20260812-135431_seed_0/retrieval_metrics.json
pointnet_tmax,clip_length,len1_c2c3_full,0,0,test_all_personal,subject_macro,mAP,0.6025800529636798,pointnet-tmax/outputs/pointnet_tmax/followup/20260812-135428/clip_length/len1_c2c3_full/seed_0/split_0/20260812-135431_seed_0/retrieval_metrics.json
pointnet_tmax,clip_length,len1_c2c3_full,0,0,test_query_micro_overall,query_micro,rank1,0.6019108280254777,pointnet-tmax/outputs/pointnet_tmax/followup/20260812-135428/clip_length/len1_c2c3_full/seed_0/split_0/20260812-135431_seed_0/retrieval_metrics.json
pointnet_tmax,clip_length,len1_c2c3_full,0,0,test_query_micro_overall,query_micro,rank5,0.75,pointnet-tmax/outputs/pointnet_tmax/followup/20260812-135428/clip_length/len1_c2c3_full/seed_0/split_0/20260812-135431_seed_0/retrieval_metrics.json
pointnet_tmax,clip_length,len1_c2c3_full,0,0,test_query_micro_overall,query_micro,mAP,0.5251728537000099,pointnet-tmax/outputs/pointnet_tmax/followup/20260812-135428/clip_length/len1_c2c3_full/seed_0/split_0/20260812-135431_seed_0/retrieval_metrics.json
pointnet_tmax,clip_length,len1_c2c3_full,0,0,test_query_micro_overall,subject_macro,rank1,0.6925121381886088,pointnet-tmax/outputs/pointnet_tmax/followup/20260812-135428/clip_length/len1_c2c3_full/seed_0/split_0/20260812-135431_seed_0/retrieval_metrics.json
pointnet_tmax,clip_length,len1_c2c3_full,0,0,test_query_micro_overall,subject_macro,rank5,0.8188039215686274,pointnet-tmax/outputs/pointnet_tmax/followup/20260812-135428/clip_length/len1_c2c3_full/seed_0/split_0/20260812-135431_seed_0/retrieval_metrics.json
pointnet_tmax,clip_length,len1_c2c3_full,0,0,test_query_micro_overall,subject_macro,mAP,0.5622745550472488,pointnet-tmax/outputs/pointnet_tmax/followup/20260812-135428/clip_length/len1_c2c3_full/seed_0/split_0/20260812-135431_seed_0/retrieval_metrics.json
pointnet_tmax,clip_length,len1_c2c3_full,0,0,test_mixed_c2_to_c3,query_micro,rank1,0.725,pointnet-tmax/outputs/pointnet_tmax/followup/20260812-135428/clip_length/len1_c2c3_full/seed_0/split_0/20260812-135431_seed_0/retrieval_metrics.json
pointnet_tmax,clip_length,len1_c2c3_full,0,0,test_mixed_c2_to_c3,query_micro,rank5,0.9,pointnet-tmax/outputs/pointnet_tmax/followup/20260812-135428/clip_length/len1_c2c3_full/seed_0/split_0/20260812-135431_seed_0/retrieval_metrics.json
pointnet_tmax,clip_length,len1_c2c3_full,0,0,test_mixed_c2_to_c3,query_micro,mAP,0.6151320204138756,pointnet-tmax/outputs/pointnet_tmax/followup/20260812-135428/clip_length/len1_c2c3_full/seed_0/split_0/20260812-135431_seed_0/retrieval_metrics.json
pointnet_tmax,clip_length,len1_c2c3_full,0,0,test_mixed_c2_to_c3,subject_macro,rank1,0.725,pointnet-tmax/outputs/pointnet_tmax/followup/20260812-135428/clip_length/len1_c2c3_full/seed_0/split_0/20260812-135431_seed_0/retrieval_metrics.json
pointnet_tmax,clip_length,len1_c2c3_full,0,0,test_mixed_c2_to_c3,subject_macro,rank5,0.9,pointnet-tmax/outputs/pointnet_tmax/followup/20260812-135428/clip_length/len1_c2c3_full/seed_0/split_0/20260812-135431_seed_0/retrieval_metrics.json
pointnet_tmax,clip_length,len1_c2c3_full,0,0,test_mixed_c2_to_c3,subject_macro,mAP,0.6151320204138756,pointnet-tmax/outputs/pointnet_tmax/followup/20260812-135428/clip_length/len1_c2c3_full/seed_0/split_0/20260812-135431_seed_0/retrieval_metrics.json
pointnet_tmax,clip_length,len1_c2c3_full,0,0,test_mixed_c3_to_c2,query_micro,rank1,0.7,pointnet-tmax/outputs/pointnet_tmax/followup/20260812-135428/clip_length/len1_c2c3_full/seed_0/split_0/20260812-135431_seed_0/retrieval_metrics.json
pointnet_tmax,clip_length,len1_c2c3_full,0,0,test_mixed_c3_to_c2,query_micro,rank5,0.875,pointnet-tmax/outputs/pointnet_tmax/followup/20260812-135428/clip_length/len1_c2c3_full/seed_0/split_0/20260812-135431_seed_0/retrieval_metrics.json
pointnet_tmax,clip_length,len1_c2c3_full,0,0,test_mixed_c3_to_c2,query_micro,mAP,0.6132433092221617,pointnet-tmax/outputs/pointnet_tmax/followup/20260812-135428/clip_length/len1_c2c3_full/seed_0/split_0/20260812-135431_seed_0/retrieval_metrics.json
pointnet_tmax,clip_length,len1_c2c3_full,0,0,test_mixed_c3_to_c2,subject_macro,rank1,0.7,pointnet-tmax/outputs/pointnet_tmax/followup/20260812-135428/clip_length/len1_c2c3_full/seed_0/split_0/20260812-135431_seed_0/retrieval_metrics.json
pointnet_tmax,clip_length,len1_c2c3_full,0,0,test_mixed_c3_to_c2,subject_macro,rank5,0.875,pointnet-tmax/outputs/pointnet_tmax/followup/20260812-135428/clip_length/len1_c2c3_full/seed_0/split_0/20260812-135431_seed_0/retrieval_metrics.json
pointnet_tmax,clip_length,len1_c2c3_full,0,0,test_mixed_c3_to_c2,subject_macro,mAP,0.6132433092221617,pointnet-tmax/outputs/pointnet_tmax/followup/20260812-135428/clip_length/len1_c2c3_full/seed_0/split_0/20260812-135431_seed_0/retrieval_metrics.json
pointnet_tmax,clip_length,len1_c2c3_full,0,0,diagnostic_fixed5_only_to_special,query_micro,rank1,0.6463700234192038,pointnet-tmax/outputs/pointnet_tmax/followup/20260812-135428/clip_length/len1_c2c3_full/seed_0/split_0/20260812-135431_seed_0/retrieval_metrics.json
pointnet_tmax,clip_length,len1_c2c3_full,0,0,diagnostic_fixed5_only_to_special,query_micro,rank5,0.775175644028103,pointnet-tmax/outputs/pointnet_tmax/followup/20260812-135428/clip_length/len1_c2c3_full/seed_0/split_0/20260812-135431_seed_0/retrieval_metrics.json
pointnet_tmax,clip_length,len1_c2c3_full,0,0,diagnostic_fixed5_only_to_special,query_micro,mAP,0.6059502114037998,pointnet-tmax/outputs/pointnet_tmax/followup/20260812-135428/clip_length/len1_c2c3_full/seed_0/split_0/20260812-135431_seed_0/retrieval_metrics.json
pointnet_tmax,clip_length,len1_c2c3_full,0,0,diagnostic_fixed5_only_to_special,subject_macro,rank1,0.5899074074074074,pointnet-tmax/outputs/pointnet_tmax/followup/20260812-135428/clip_length/len1_c2c3_full/seed_0/split_0/20260812-135431_seed_0/retrieval_metrics.json
pointnet_tmax,clip_length,len1_c2c3_full,0,0,diagnostic_fixed5_only_to_special,subject_macro,rank5,0.7326975308641975,pointnet-tmax/outputs/pointnet_tmax/followup/20260812-135428/clip_length/len1_c2c3_full/seed_0/split_0/20260812-135431_seed_0/retrieval_metrics.json
pointnet_tmax,clip_length,len1_c2c3_full,0,0,diagnostic_fixed5_only_to_special,subject_macro,mAP,0.5671509858166808,pointnet-tmax/outputs/pointnet_tmax/followup/20260812-135428/clip_length/len1_c2c3_full/seed_0/split_0/20260812-135431_seed_0/retrieval_metrics.json
pointnet_tmax,clip_length,len1_c2c3_full,0,1,val,query_micro,rank1,0.9,pointnet-tmax/outputs/pointnet_tmax/followup/20260812-135428/clip_length/len1_c2c3_full/seed_0/split_1/20260812-135514_seed_0/retrieval_metrics.json
pointnet_tmax,clip_length,len1_c2c3_full,0,1,val,query_micro,rank5,0.96,pointnet-tmax/outputs/pointnet_tmax/followup/20260812-135428/clip_length/len1_c2c3_full/seed_0/split_1/20260812-135514_seed_0/retrieval_metrics.json
pointnet_tmax,clip_length,len1_c2c3_full,0,1,val,query_micro,mAP,0.899944885969162,pointnet-tmax/outputs/pointnet_tmax/followup/20260812-135428/clip_length/len1_c2c3_full/seed_0/split_1/20260812-135514_seed_0/retrieval_metrics.json
pointnet_tmax,clip_length,len1_c2c3_full,0,1,val,subject_macro,rank1,0.9,pointnet-tmax/outputs/pointnet_tmax/followup/20260812-135428/clip_length/len1_c2c3_full/seed_0/split_1/20260812-135514_seed_0/retrieval_metrics.json
pointnet_tmax,clip_length,len1_c2c3_full,0,1,val,subject_macro,rank5,0.96,pointnet-tmax/outputs/pointnet_tmax/followup/20260812-135428/clip_length/len1_c2c3_full/seed_0/split_1/20260812-135514_seed_0/retrieval_metrics.json
pointnet_tmax,clip_length,len1_c2c3_full,0,1,val,subject_macro,mAP,0.899944885969162,pointnet-tmax/outputs/pointnet_tmax/followup/20260812-135428/clip_length/len1_c2c3_full/seed_0/split_1/20260812-135514_seed_0/retrieval_metrics.json
pointnet_tmax,clip_length,len1_c2c3_full,0,1,val_c2_to_c3,query_micro,rank1,1.0,pointnet-tmax/outputs/pointnet_tmax/followup/20260812-135428/clip_length/len1_c2c3_full/seed_0/split_1/20260812-135514_seed_0/retrieval_metrics.json
pointnet_tmax,clip_length,len1_c2c3_full,0,1,val_c2_to_c3,query_micro,rank5,1.0,pointnet-tmax/outputs/pointnet_tmax/followup/20260812-135428/clip_length/len1_c2c3_full/seed_0/split_1/20260812-135514_seed_0/retrieval_metrics.json
pointnet_tmax,clip_length,len1_c2c3_full,0,1,val_c2_to_c3,query_micro,mAP,0.9688095271587371,pointnet-tmax/outputs/pointnet_tmax/followup/20260812-135428/clip_length/len1_c2c3_full/seed_0/split_1/20260812-135514_seed_0/retrieval_metrics.json
pointnet_tmax,clip_length,len1_c2c3_full,0,1,val_c2_to_c3,subject_macro,rank1,1.0,pointnet-tmax/outputs/pointnet_tmax/followup/20260812-135428/clip_length/len1_c2c3_full/seed_0/split_1/20260812-135514_seed_0/retrieval_metrics.json
pointnet_tmax,clip_length,len1_c2c3_full,0,1,val_c2_to_c3,subject_macro,rank5,1.0,pointnet-tmax/outputs/pointnet_tmax/followup/20260812-135428/clip_length/len1_c2c3_full/seed_0/split_1/20260812-135514_seed_0/retrieval_metrics.json
pointnet_tmax,clip_length,len1_c2c3_full,0,1,val_c2_to_c3,subject_macro,mAP,0.9688095271587371,pointnet-tmax/outputs/pointnet_tmax/followup/20260812-135428/clip_length/len1_c2c3_full/seed_0/split_1/20260812-135514_seed_0/retrieval_metrics.json
pointnet_tmax,clip_length,len1_c2c3_full,0,1,val_c3_to_c2,query_micro,rank1,1.0,pointnet-tmax/outputs/pointnet_tmax/followup/20260812-135428/clip_length/len1_c2c3_full/seed_0/split_1/20260812-135514_seed_0/retrieval_metrics.json
