method,suite,setting,pair,aggregation,metric,mean_of_seed_split_means,seed_std,pooled_split_std,num_seeds,num_runs
pointnet_tmax,clip_length,len1_c2c3_full,diagnostic_fixed5_only_to_special,query_micro,mAP,0.6249583053784292,0.0,0.012843287005315559,1,5
pointnet_tmax,clip_length,len1_c2c3_full,diagnostic_fixed5_only_to_special,query_micro,rank1,0.6829039812646369,0.0,0.020555604925050746,1,5
pointnet_tmax,clip_length,len1_c2c3_full,diagnostic_fixed5_only_to_special,query_micro,rank5,0.8032786885245902,0.0,0.03335078804481105,1,5
pointnet_tmax,clip_length,len1_c2c3_full,diagnostic_fixed5_only_to_special,subject_macro,mAP,0.5880320654391351,0.0,0.010816471681955368,1,5
pointnet_tmax,clip_length,len1_c2c3_full,diagnostic_fixed5_only_to_special,subject_macro,rank1,0.6342798742138365,0.0,0.027903605997162684,1,5
pointnet_tmax,clip_length,len1_c2c3_full,diagnostic_fixed5_only_to_special,subject_macro,rank5,0.7676135802469136,0.0,0.04311315145851268,1,5
pointnet_tmax,clip_length,len1_c2c3_full,test_all_personal,query_micro,mAP,0.609070580146225,0.0,0.0519734506921763,1,5
pointnet_tmax,clip_length,len1_c2c3_full,test_all_personal,query_micro,rank1,0.7317804738385204,0.0,0.05623718827741294,1,5
pointnet_tmax,clip_length,len1_c2c3_full,test_all_personal,query_micro,rank5,0.864991510888526,0.0,0.020956001789392213,1,5
pointnet_tmax,clip_length,len1_c2c3_full,test_all_personal,subject_macro,mAP,0.6122148973896289,0.0,0.051091817027971664,1,5
pointnet_tmax,clip_length,len1_c2c3_full,test_all_personal,subject_macro,rank1,0.7363092833092832,0.0,0.05485318218670379,1,5
pointnet_tmax,clip_length,len1_c2c3_full,test_all_personal,subject_macro,rank5,0.8691279461279461,0.0,0.020459441917129183,1,5
pointnet_tmax,clip_length,len1_c2c3_full,test_fixed5_c4c5_normal,query_micro,mAP,0.5138200318323818,0.0,0.06321408787642308,1,5
pointnet_tmax,clip_length,len1_c2c3_full,test_fixed5_c4c5_normal,query_micro,rank1,0.5768115942028985,0.0,0.07906192288107744,1,5
pointnet_tmax,clip_length,len1_c2c3_full,test_fixed5_c4c5_normal,query_micro,rank5,0.7130434782608696,0.0,0.060999784029621626,1,5
pointnet_tmax,clip_length,len1_c2c3_full,test_fixed5_c4c5_normal,subject_macro,mAP,0.5106803030268716,0.0,0.06502080908458299,1,5
pointnet_tmax,clip_length,len1_c2c3_full,test_fixed5_c4c5_normal,subject_macro,rank1,0.5681092258748675,0.0,0.08160989693805772,1,5
pointnet_tmax,clip_length,len1_c2c3_full,test_fixed5_c4c5_normal,subject_macro,rank5,0.7075450689289501,0.0,0.06286924069372106,1,5
pointnet_tmax,clip_length,len1_c2c3_full,test_fixed5_c7,query_micro,mAP,0.5045227210223675,0.0,0.021814014003187353,1,5
pointnet_tmax,clip_length,len1_c2c3_full,test_fixed5_c7,query_micro,rank1,0.54,0.0,0.054697684911647546,1,5
pointnet_tmax,clip_length,len1_c2c3_full,test_fixed5_c7,query_micro,rank5,0.6557142857142857,0.0,0.08136589066227508,1,5
pointnet_tmax,clip_length,len1_c2c3_full,test_fixed5_c7,subject_macro,mAP,0.4509835682064295,0.0,0.023328387657075365,1,5
pointnet_tmax,clip_length,len1_c2c3_full,test_fixed5_c7,subject_macro,rank1,0.4920833333333333,0.0,0.05012830759383584,1,5
pointnet_tmax,clip_length,len1_c2c3_full,test_fixed5_c7,subject_macro,rank5,0.6025,0.0,0.08343119254145234,1,5
pointnet_tmax,clip_length,len1_c2c3_full,test_fixed5_to_personal,query_micro,mAP,0.5744495452483102,0.0,0.04052487923056032,1,5
pointnet_tmax,clip_length,len1_c2c3_full,test_fixed5_to_personal,query_micro,rank1,0.6653465346534653,0.0,0.06549637785560883,1,5
pointnet_tmax,clip_length,len1_c2c3_full,test_fixed5_to_personal,query_micro,rank5,0.805940594059406,0.0,0.028421188305757048,1,5
pointnet_tmax,clip_length,len1_c2c3_full,test_fixed5_to_personal,subject_macro,mAP,0.579023088121698,0.0,0.040845100364933155,1,5
pointnet_tmax,clip_length,len1_c2c3_full,test_fixed5_to_personal,subject_macro,rank1,0.6716190476190476,0.0,0.06613502301988919,1,5
pointnet_tmax,clip_length,len1_c2c3_full,test_fixed5_to_personal,subject_macro,rank5,0.8119047619047619,0.0,0.027979584393931646,1,5
pointnet_tmax,clip_length,len1_c2c3_full,test_fixed5_to_special,query_micro,mAP,0.5319169777443313,0.0,0.05128903476772917,1,5
pointnet_tmax,clip_length,len1_c2c3_full,test_fixed5_to_special,query_micro,rank1,0.6051522248243559,0.0,0.07162754947526652,1,5
pointnet_tmax,clip_length,len1_c2c3_full,test_fixed5_to_special,query_micro,rank5,0.7442622950819672,0.0,0.05558596233872337,1,5
