method,suite,setting,pair,aggregation,metric,mean_of_seed_split_means,seed_std,pooled_split_std,num_seeds,num_runs
PointNet-TMax,train_clothing,len15_c2,test_general_to_personal,query_micro,mAP,0.7624385770890448,0.0137083138230672,0.07812232524862697,3,15
PointNet-TMax,train_clothing,len15_c2,test_fixed5_to_special,query_micro,rank1,0.6117096018735363,0.07357358204062267,0.1457851233180403,3,15
PointNet-TMax,train_clothing,len15_c2,test_fixed5_to_special,query_micro,rank5,0.8277907884465261,0.05703953153489054,0.0981368654735763,3,15
PointNet-TMax,train_clothing,len15_c2,test_fixed5_to_special,query_micro,mAP,0.5613985117091554,0.03888229615949755,0.0982495907665312,3,15
PointNet-TMax,train_clothing,len15_c2,test_fixed5_to_special,subject_macro,mAP,0.5396369639822404,0.035774010634343274,0.09397961608609297,3,15
PointNet-TMax,train_clothing,len15_c2,test_fixed5_c4c5_normal,subject_macro,mAP,0.541326113380422,0.03979235422235918,0.11103232677696213,3,15
PointNet-TMax,train_clothing,len15_c2,test_fixed5_c7,subject_macro,mAP,0.47040028932193917,0.037816531615598316,0.08380061982289107,3,15
PointNet-TMax,train_clothing,len15_c3,test_general_to_personal,query_micro,mAP,0.79955175004096,0.023525717180946416,0.07634218316912746,3,15
PointNet-TMax,train_clothing,len15_c3,test_fixed5_to_special,query_micro,rank1,0.7275565964090553,0.06757548464618585,0.1350394602102652,3,15
PointNet-TMax,train_clothing,len15_c3,test_fixed5_to_special,query_micro,rank5,0.9058548009367682,0.007533076085442524,0.046179597796908646,3,15
PointNet-TMax,train_clothing,len15_c3,test_fixed5_to_special,query_micro,mAP,0.6531821896760469,0.05172181551879788,0.10951697049368268,3,15
PointNet-TMax,train_clothing,len15_c3,test_fixed5_to_special,subject_macro,mAP,0.6346527295639373,0.041976092786546425,0.10564692433978495,3,15
PointNet-TMax,train_clothing,len15_c3,test_fixed5_c4c5_normal,subject_macro,mAP,0.6276107482792354,0.04404059635508574,0.1246321129293251,3,15
PointNet-TMax,train_clothing,len15_c3,test_fixed5_c7,subject_macro,mAP,0.5677179162400878,0.047711749284881456,0.08062397694872007,3,15
PointNet-TMax,train_video_count,len15_2videos_per_id,test_general_to_personal,query_micro,mAP,0.22625340097855315,0.008104706544034758,0.018000330699955464,3,15
PointNet-TMax,train_video_count,len15_2videos_per_id,test_fixed5_to_special,query_micro,rank1,0.32365339578454333,0.018216869158808553,0.041729139599638636,3,15
PointNet-TMax,train_video_count,len15_2videos_per_id,test_fixed5_to_special,query_micro,rank5,0.7019516003122561,0.03405452512851373,0.045975395717948585,3,15
PointNet-TMax,train_video_count,len15_2videos_per_id,test_fixed5_to_special,query_micro,mAP,0.21200712181272963,0.006112216962994984,0.013899346509288701,3,15
