method,seed,split,release_filename,size_bytes,sha256,download_url
lidargaitpp,0,0,lidargaitpp/seed_0/split_0/best.pt,19705940,2a1a44d2f900870654d7b93b11a72ad633b1392f5d185f5efde3c26529419a2b,TBD
lidargaitpp,0,1,lidargaitpp/seed_0/split_1/best.pt,19705940,296e5024260b570cb0907c6d484fbe898930b9421d9b94bc8e621818207e9bd0,TBD
lidargaitpp,0,2,lidargaitpp/seed_0/split_2/best.pt,19705940,732eb8b484e5d97a7979ac6728b4e0e884d2a8a0ed77a0d8aa3cba0cb6b971df,TBD
lidargaitpp,0,3,lidargaitpp/seed_0/split_3/best.pt,19769428,0fad3a2d57efef09eba1aa28d5d0488f16f485363e149bb5fbb33b32e7086e4a,TBD
lidargaitpp,0,4,lidargaitpp/seed_0/split_4/best.pt,19769428,b82aa0ed9d6c765ece45f7ca7711680b6d9e8a9f4713ade3425ac901454ed5a0,TBD
lidargaitpp,1,0,lidargaitpp/seed_1/split_0/best.pt,19705940,7d2c6979fc5021542dc7080fd6888527046828d94ff8daa701da1694287f21aa,TBD
lidargaitpp,1,1,lidargaitpp/seed_1/split_1/best.pt,19705940,8b65a85cc3a318e9aeec5c6caedfb5562fa3c82fc1edafba2e2d9e0c3b3dcc79,TBD
lidargaitpp,1,2,lidargaitpp/seed_1/split_2/best.pt,19705940,0e49a14324dfc64c338246dd21c5ef5b46887c5a72f083e6e27578184ea2b590,TBD
lidargaitpp,1,3,lidargaitpp/seed_1/split_3/best.pt,19769428,500b78fdf1ae89a504846ba9c3b9052432b14009eeb50ee14a40bb6f22c0e9c1,TBD
lidargaitpp,1,4,lidargaitpp/seed_1/split_4/best.pt,19769428,da568aeb33acc38dc2e1c8e50f3d489bb5122f44344b74871b64f3a3ecd609e5,TBD
lidargaitpp,2,0,lidargaitpp/seed_2/split_0/best.pt,19705940,17aa0085908f274bb8ad3e057908606520fb5d3a1abdf2e9c6a09ff97dfc851a,TBD
lidargaitpp,2,1,lidargaitpp/seed_2/split_1/best.pt,19705940,a12b17687e1b19c95414b23ace19a5db857ba505655805e65a60b24d2a1767f9,TBD
lidargaitpp,2,2,lidargaitpp/seed_2/split_2/best.pt,19705940,560d638354fad4f79917245bdb6c9e0c5fd551407fd3c38a857d04941278115c,TBD
lidargaitpp,2,3,lidargaitpp/seed_2/split_3/best.pt,19769428,cacc14187a70bacee41e83f1acf8fed2187c248f5da4d3a9dc09ae715c69cc27,TBD
lidargaitpp,2,4,lidargaitpp/seed_2/split_4/best.pt,19769428,6663d561893ad9e20e00b204499581552e059a8b53b245a0d74e51ded57aee79,TBD
