method,seed,split,release_filename,size_bytes,sha256,download_url
projection_gray_depth,0,0,projection_gray_depth/seed_0/split_0/best.pt,57068122,73b04bfb814f340e53944630d0a28031ac774104f0b8b00d51c075a403071c17,TBD
projection_gray_depth,0,1,projection_gray_depth/seed_0/split_1/best.pt,57068122,e813f649c60ce8d0c7657fd10547ee7115db5d15c962d4f6b645de410d67f869,TBD
projection_gray_depth,0,2,projection_gray_depth/seed_0/split_2/best.pt,57068122,48870f09033d9c1f493e9705cdba6604be0fbe79fc0b8ab6e0890eadceb21588,TBD
projection_gray_depth,0,3,projection_gray_depth/seed_0/split_3/best.pt,57068122,52a37a54ca7004da4e9d329cb755739a1ba8dd8f6c3a0c70d7434484b2c3d69e,TBD
projection_gray_depth,0,4,projection_gray_depth/seed_0/split_4/best.pt,57068122,3d30def9881986a0582396cd6be01b5d5c3fd0c4ead105f86371ae54ab90a132,TBD
projection_gray_depth,1,0,projection_gray_depth/seed_1/split_0/best.pt,57068122,e7b495a23ee941c35144be96117f6356e6efe94cc53b9de9c4479f90c0a6f8fd,TBD
projection_gray_depth,1,1,projection_gray_depth/seed_1/split_1/best.pt,57068122,72ad137cbb22b8b9ffbe27db2ab57f800a002e6a41470246d6aa280c2feb78ea,TBD
projection_gray_depth,1,2,projection_gray_depth/seed_1/split_2/best.pt,57068122,23acc55d190fa6159087cff09b78f2008ae76bb21972643a8837cc6775adaf39,TBD
projection_gray_depth,1,3,projection_gray_depth/seed_1/split_3/best.pt,57068122,65f02297c8f3687d6f482adecf19dac9c1ab1f0a940e836e6b0bb3eaba4fc254,TBD
projection_gray_depth,1,4,projection_gray_depth/seed_1/split_4/best.pt,57068122,c7ca4786c2d1a80dd20ed83c3303eae0d82abf00fff70f7c837a981864560e0a,TBD
projection_gray_depth,2,0,projection_gray_depth/seed_2/split_0/best.pt,57068122,9795d2a70c065cd73ed82d1b2a960fc71d712987a1c60426b2ce1d205b05ff20,TBD
projection_gray_depth,2,1,projection_gray_depth/seed_2/split_1/best.pt,57068122,bf621f01d3690f4f2ec6262582da8de42b61c7804fb47f9fbe28d2fae8a712b9,TBD
projection_gray_depth,2,2,projection_gray_depth/seed_2/split_2/best.pt,57068122,db08815cadbabfe0dd7beae2969c2a6aca0fbbecb1cc7f352600814ecf46a7ba,TBD
projection_gray_depth,2,3,projection_gray_depth/seed_2/split_3/best.pt,57068122,8f34d1ae5522051151a7f741cb4495036571b513cb640609990a71b845113edb,TBD
projection_gray_depth,2,4,projection_gray_depth/seed_2/split_4/best.pt,57068122,c9095f13561962643e90c5ce1251728d391d0e580e774d1b13d70b792cb482d8,TBD
projection_rgb_depth,0,0,projection_rgb_depth/seed_0/split_0/best.pt,57077338,9e4405edd06fd38770c8b259b81820ee579167d4f84744de14b6729dac3d4224,TBD
projection_rgb_depth,0,1,projection_rgb_depth/seed_0/split_1/best.pt,57077338,873d8bbb7e86493a9dc2ac6c4b6b02c3337c7b8550e2a3bde449bfaa2e8ecb11,TBD
projection_rgb_depth,0,2,projection_rgb_depth/seed_0/split_2/best.pt,57077338,dbf41fcf724069742f325a34b5b64807ba2ed428f6d47cdcd22c30238ea62e43,TBD
projection_rgb_depth,0,3,projection_rgb_depth/seed_0/split_3/best.pt,57077338,11f3df11d5a5d0f50efc442ef45daa8fa327d9128062c264b1a59b6dcf31cd28,TBD
projection_rgb_depth,0,4,projection_rgb_depth/seed_0/split_4/best.pt,57077338,38847a17288a038e737eeb7eb750fb25054a163a1a0cf7c8e524903aa9378c09,TBD
projection_rgb_depth,1,0,projection_rgb_depth/seed_1/split_0/best.pt,57077338,602b713a1e4fda54b244d06086b7f3f0040ffa4919f2c25fe9db0bac4a47de9f,TBD
projection_rgb_depth,1,1,projection_rgb_depth/seed_1/split_1/best.pt,57077338,2583cf073752cd720dc0537d601ae80d6f790e33ff6c34601da2486d6f289aad,TBD
projection_rgb_depth,1,2,projection_rgb_depth/seed_1/split_2/best.pt,57077338,4b376021963257313d9eecd54fefa8893888520b9fefba45c62f86c0ca61cf80,TBD
projection_rgb_depth,1,3,projection_rgb_depth/seed_1/split_3/best.pt,57077338,411184ffa6b6a3ba4fcf542eb3be00f743de3e69c48dee03fc9f8255556127b6,TBD
projection_rgb_depth,1,4,projection_rgb_depth/seed_1/split_4/best.pt,57077338,7c1e2815c5f120ed4fe16b27abca286f3f1b7c4afedd9009882ab4cd1af479c1,TBD
projection_rgb_depth,2,0,projection_rgb_depth/seed_2/split_0/best.pt,57077338,5daee9a58132e58669b26ba54f050b023051f4a41dea44872807c2bdad99ef17,TBD
projection_rgb_depth,2,1,projection_rgb_depth/seed_2/split_1/best.pt,57077338,8ebf22c9355a638818206a5ccf23cfeb13c1499d5beb1d47ef4481ba07e6ce28,TBD
projection_rgb_depth,2,2,projection_rgb_depth/seed_2/split_2/best.pt,57077338,4da67cdf40a3668bd26d5c33a9c556ff3bdb1e161359bd82a2c8d0fe1df9536e,TBD
projection_rgb_depth,2,3,projection_rgb_depth/seed_2/split_3/best.pt,57077338,78f25bbc1ede6720ad5b0e4075025dd3454414dd63eaf8663b3857fb510758eb,TBD
projection_rgb_depth,2,4,projection_rgb_depth/seed_2/split_4/best.pt,57077338,44e06107aa815eb94ac3f6286f65fb63a569ffb9226c819523201694236697a8,TBD
projection_silhouette,0,0,projection_silhouette/seed_0/split_0/best.pt,57068122,7f18229165601c97bef7a348d44511ed587364c4ca5f35569a0894b385a7f6e7,TBD
